Feature ID	Taxon	Confidence	Taxon_Lv1	Taxon_Lv2	Taxon_Lv3	Taxon_Lv4	Taxon_Lv5	Taxon_Lv45
c4af67fc8007b388e0b2c607c5544372	Eukaryota	0.996517377	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
82314ee4712b09f39b2a1e6135388f00	Eukaryota	0.997465081	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
92818b3323aef30e5ffb47edb072b6d2	Eukaryota	0.997196746	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
44991384f2e01c77a496f3f5eed7508b	Eukaryota	0.997614959	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
0e18d3a6f2c4a166e4a3e93f58895150	Eukaryota	0.997912477	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
225d7210a4fdd015b8f185571d2f9913	Eukaryota	0.996832849	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
251ee734b99e5453092f227a348da3fc	Eukaryota	0.996868308	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
00c47d2d9237a6b61aacfbe0dfe00701	Eukaryota	0.99738279	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
301827df2d21496209f966208417c91a	Eukaryota	0.999978951	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
845ca598045cfc0730bfc1f0d2331996	Eukaryota	0.996291587	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
67912ccf6674efe9955713bc824315f4	Eukaryota	0.988008897	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
4cd8484d454e01328a8aa23afb4d8ef2	Eukaryota	0.996607584	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
efabceb2d7300f183870c72509436afa	Eukaryota	0.999815546	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
d46c07fbe17c8fdecd9d5b48849a8cce	Eukaryota	0.979253525	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
668eb578eb5a53a628b50d120bc50bae	Eukaryota	0.989592333	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
510093c13592d3a95072ee5ea2df5c69	Eukaryota	0.994633903	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
4c43e55cafc1e348eb542d9796cac418	Eukaryota	0.99801314	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
c36025cdb410568f1b263843e59e8903	Eukaryota	0.973080852	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
161d3e5133832b2da8d882e846a1cf29	Eukaryota	0.98340354	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
f3645c2ae0b796696a15381e303fd41f	Eukaryota	0.999492312	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
c4978dce4a363951b6bcb6a8b5680cb3	Eukaryota	0.999383592	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
77ecdb5868a5ca1c768ca3bea05a2e14	Eukaryota	0.999151912	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
e4c7e4ee2cb0973acf2a23ac953a6233	Eukaryota	0.985753255	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
5ae5ba018cd29dd1bf6a8129691a0054	Eukaryota	0.996969795	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
ddb5af4ec43c11663edfca940a9487fc	Eukaryota	0.99947765	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
76197c8dc855bd3943c916aadea58138	Eukaryota	0.995340064	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
7e9c6289985ec1dec0bba9fc6ea1b343	Eukaryota	0.996578302	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
47242dcf3ce651b9e08751134f5486bf	Eukaryota	0.994921795	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
88ec743b52c903d475ae55693bf48a76	Eukaryota	0.993558413	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
c670a47935692d726880bbfbfc8c8d5f	Eukaryota	0.992430217	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
